data,detalhes,tipo,5_dia_util,transacoes_negocio
2015-09-29,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,5.032.164
2015-09-30,Pagamento de benefícios INSS; Arrecadação de Convênios; Liberação Operações de Crédito; Grande Movimento Batch; Processo de Migração/Incorporação;,Atenção,,5.778.401
2015-10-01,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios; Processo de Migração/Incorporação;,Atenção,,5.760.318
2015-10-02,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,5.611.952
2015-10-03,Utilização de Caixa Eletrônico;,Normal,,1.337.868
2015-10-04,Utilização de Caixa Eletrônico;,Normal,,693.077
2015-10-05,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios;,Alto Risco,,7.017.902
2015-10-06,Dia Produção Sisbr; Movimento Batch – Compe Inferior; Pagamento de benefícios INSS; Arrecadação de Convênios;,Atenção,,6.435.584
2015-10-07,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,1,6.308.829
2015-10-08,Dia Produção Sisbr; Arrecadação de Convênios;,Normal,,5.467.600
2015-10-09,Arrecadação de Convênios; Arrecadação de GPS;,Normal,,5.627.140
2015-10-10,Congelamento do ambiente; Utilização de Caixa Eletrônico; Aumento de transações CDO e ATM; Previsão de grande movimento; ,Congelamento,,1.269.090
2015-10-11,Congelamento do ambiente; Utilização de Caixa Eletrônico; Aumento de transações CDO e ATM; Previsão de grande movimento; ,Congelamento,,508.365
2015-10-12,Congelamento do ambiente; Feriado; Nossa Senhora Aparecida e Dia das Crianças; Aumento de transações CDO e ATM;,Feriado,,802.740
2015-10-13,Congelamento do ambiente; Previsão de grande movimento;,Congelamento,,7.630.929
2015-10-14,,Normal,,5.738.431
2015-10-15,Dia Produção Sisbr; Movimento Batch – Empréstimo 0001;,Normal,,6.095.836
2015-10-16,Movimento Batch – Empréstimo 0001;,Normal,,5.437.648
2015-10-17,Utilização de Caixa Eletrônico;,Normal,,1.195.190
2015-10-18,Utilização de Caixa Eletrônico;,Normal,,577.608
2015-10-19,Movimento Segunda-Feira,Alto Risco,,6.228.766
2015-10-20,Dia Produção Sisbr; Arrecadação de GPS; Arrecadação de DARF e DAS; Pagamento de leite das Cooperativas Rurais; Dia de maior movimento do Sicoobnet Empresarial;,Alto Risco,,6.425.041
2015-10-21,,Normal,,5.140.882
2015-10-22,Dia Produção Sisbr;,Normal,,4.779.349
2015-10-23,,Normal,,4.942.443
2015-10-24,Utilização de Caixa Eletrônico;,Normal,,1.121.788
2015-10-25,Utilização de Caixa Eletrônico;,Normal,,598.316
2015-10-26,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios;,Alto Risco,,6.081.082
2015-10-27,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios,Normal,,4.955.948
2015-10-28,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,4.884.766
2015-10-29,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,4.789.584
2015-10-30,Pagamento de benefícios INSS; Arrecadação de Convênios; Liberação Operações de Crédito; Grande Movimento Batch;,Atenção,,5.603.132
2015-10-31,Utilização de Caixa Eletrônico; Processo de Migração/Incorporação,Atenção,,1.217.426
2015-11-01,Congelamento do ambiente; Utilização de Caixa Eletrônico; Aumento de transações CDO e ATM; Processo de Migração/Incorporação; Previsão de grande movimento; Antecede feriado;,Congelamento,,542.850
2015-11-02,Congelamento do ambiente; Feriado; Finados; Aumento de transações CDO e ATM; ,Feriado,,909.312
2015-11-03,Congelamento do ambiente; Previsão de grande movimento; Pós feriado;,Congelamento,,7.267.971
2015-11-04,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,5.852.856
2015-11-05,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,6.073.808
2015-11-06,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,6.754.444
2015-11-07,Utilização de Caixa Eletrônico;,Normal,,1.490.997
2015-11-08,Utilização de Caixa Eletrônico;,Normal,,716.274
2015-11-09,Movimento Segunda-Feira; Arrecadação de Convênios;,Alto Risco,1,7.072.360
2015-11-10,Dia Produção Sisbr; Movimento Batch – Compe Inferior; Arrecadação de Convênios; Arrecadação de GPS;,Atenção,,6.735.450
2015-11-11,,Normal,,5.632.955
2015-11-12,Dia Produção Sisbr;,Normal,,5.145.855
2015-11-13,,Normal,,5.197.148
2015-11-14,Aumento de transações CDO e ATM; Utilização de Caixa Eletrônico;,Feriado,,1.196.901
2015-11-15,Feriado; Proclamação da República; Aumento de transações CDO e ATM; Utilização de Caixa Eletrônico;,Feriado,,634.589
2015-11-16,Movimento Segunda-Feira; Movimento Batch – Empréstimo 0001;,Alto Risco,,6.644.380
2015-11-17,Dia Produção Sisbr;,Normal,,5.182.354
2015-11-18,,Normal,,4.932.610
2015-11-19,Dia Produção Sisbr;,Normal,,4.990.741
2015-11-20,Arrecadação de GPS; Arrecadação de DARF e DAS; Pagamento de leite das Cooperativas Rurais; Dia de maior movimento do Sicoobnet Empresarial;,Atenção,,5.593.164
2015-11-21,Utilização de Caixa Eletrônico;,Normal,,1.232.527
2015-11-22,Utilização de Caixa Eletrônico;,Normal,,602.635
2015-11-23,Movimento Segunda-Feira;,Alto Risco,,6.085.615
2015-11-24,Dia Produção Sisbr; Pagamento de benefícios INSS;,Normal,,5.069.026
2015-11-25,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,5.354.233
2015-11-26,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,4.936.612
2015-11-27,Pagamento de benefícios INSS; Arrecadação de Convênios; ,Normal,,5.367.583
2015-11-28,Utilização de Caixa Eletrônico;,Normal,,1.405.792
2015-11-29,Utilização de Caixa Eletrônico;,Normal,,735.571
2015-11-30,Feriado; Dia do Evangélico; Aumento de transações CDO e ATM; Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios; Liberação Operações de Crédito; Grande Movimento Batch; Processo de Migração/Incorporação,Feriado,,7.341.220
2015-12-01,Dia Produção Sisbr; Movimento Batch – Compe Inferior; Pagamento de benefícios INSS; Arrecadação de Convênios; Processo de Migração/Incorporação;,Atenção,,6.543.727
2015-12-02,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,5.964.793
2015-12-03,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,5.607.586
2015-12-04,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,6.353.535
2015-12-05,Utilização de Caixa Eletrônico,Normal,,1.580.146
2015-12-06,Utilização de Caixa Eletrônico,Normal,,738.026
2015-12-07,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios;,Alto Risco,1,7.752.098
2015-12-08,Dia Produção Sisbr; Movimento Batch – Compe Inferior; Arrecadação de Convênios;,Normal,,5.184.431
2015-12-09,Arrecadação de Convênios;,Normal,,5.960.938
2015-12-10,Dia Produção Sisbr; Arrecadação de Convênios; Arrecadação de GPS;,Normal,,6.525.018
2015-12-11,,Normal,,5.911.750
2015-12-12,Utilização de Caixa Eletrônico,Normal,,1.369.298
2015-12-13,Utilização de Caixa Eletrônico,Normal,,724.541
2015-12-14,Movimento Segunda-Feira;,Alto Risco,,6.841.471
2015-12-15,Dia Produção Sisbr; Movimento Batch – Empréstimo 0001; ,Normal,,6.487.954
2015-12-16,Movimento Batch – Empréstimo 0001,Normal,,5.778.611
2015-12-17,Dia Produção Sisbr,Atenção,,5.636.748
2015-12-18,Arrecadação de GPS; Arrecadação de DARF e DAS; Pagamento de leite das Cooperativas Rurais;,Atenção,,6.816.793
2015-12-19,Congelamento do ambiente; Utilização de Caixa Eletrônico,Congelamento,,1.569.660
2015-12-20,Congelamento do ambiente; Utilização de Caixa Eletrônico,Congelamento,,810.212
2015-12-21,Congelamento do ambiente; Movimento Segunda-Feira; Dia de maior movimento do Sicoobnet Empresarial;,Congelamento,,7.460.518
2015-12-22,Congelamento do ambiente;,Congelamento,,5.995.456
2015-12-23,Congelamento do ambiente;,Congelamento,,5.848.490
2015-12-24,Congelamento do ambiente; Aumento de transações CDO e ATM;,Congelamento,,3.257.213
2015-12-25,Congelamento do ambiente; Feriado; Natal; Pagamento de benefícios INSS; Arrecadação de Convênios;,Feriado,,591.524
2015-12-26,Congelamento do ambiente; Utilização de Caixa Eletrônico,Congelamento,,1.042.590
2015-12-27,Congelamento do ambiente; Utilização de Caixa Eletrônico,Congelamento,,699.967
2015-12-28,Congelamento do ambiente; Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios;,Congelamento,,6.551.602
2015-12-29,Congelamento do ambiente; Pagamento de benefícios INSS; Arrecadação de Convênios;,Congelamento,,5.077.529
2015-12-30,Congelamento do ambiente; Pagamento de benefícios INSS; Arrecadação de Convênios;,Congelamento,,5.450.864
2015-12-31,Congelamento do ambiente; Pagamento de benefícios INSS; Arrecadação de Convênios; Liberação Operações de Crédito; Grande Movimento Batch; Processo de Migração/Incorporação; Aumento de transações CDO e ATM;,Congelamento,,1.877.840
2016-01-01,Congelamento do ambiente; Feriado; Ano Novo; Processo de Migração/Incorporação; Aumento de transações CDO e ATM;,Feriado,,626.097
2016-01-02,Congelamento do ambiente; Utilização de Caixa Eletrônico;,Congelamento,,1.044.122
2016-01-03,Congelamento do ambiente; Utilização de Caixa Eletrônico;,Congelamento,,815.159
2016-01-04,Congelamento do ambiente; 1º dia útil; Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios;,Congelamento,,7.621.417
2016-01-05,Dia Produção Sisbr; Movimento Batch – Compe Inferior; Pagamento de benefícios INSS; Arrecadação de Convênios; ,Alto Risco,,6.733.883
2016-01-06,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,6.022.390
2016-01-07,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,6.358.450
2016-01-08,Pagamento de benefícios INSS; Arrecadação de Convênios; Arrecadação de GPS;,Atenção,1,6.138.214
2016-01-09,Utilização de Caixa Eletrônico,Normal,,1.508.445
2016-01-10,Utilização de Caixa Eletrônico,Normal,,776.591
2016-01-11,Movimento Segunda-Feira; Arrecadação de Convênios; Previsão de grande movimento;,Alto Risco,,7.989.132
2016-01-12,Dia Produção Sisbr; Movimento Batch – Compe Inferior;,Normal,,6.058.523
2016-01-13,,Normal,,5.720.504
2016-01-14,Dia Produção Sisbr; ,Normal,,5.421.265
2016-01-15,Movimento Batch – Empréstimo 0001;,Normal,,6.163.340
2016-01-16,Utilização de Caixa Eletrônico,Normal,,1.299.958
2016-01-17,Utilização de Caixa Eletrônico,Normal,,674.525
2016-01-18,Movimento Segunda-Feira; Movimento Batch – Empréstimo 0001;,Alto Risco,,6.588.501
2016-01-19,Dia Produção Sisbr;,Normal,,5.667.314
2016-01-20,Arrecadação de GPS; Arrecadação de DARF e DAS; Pagamento de leite das Cooperativas Rurais; Dia de maior movimento do Sicoobnet Empresarial;,Alto Risco,,5.976.494
2016-01-21,Dia Produção Sisbr; ,Normal,,5.343.036
2016-01-22,,Normal,,5.182.414
2016-01-23,Utilização de Caixa Eletrônico,Normal,,1.266.481
2016-01-24,Utilização de Caixa Eletrônico,Normal,,641.029
2016-01-25,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios;,Alto Risco,,6.235.083
2016-01-26,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Atenção,,5.351.875
2016-01-27,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,5.113.730
2016-01-28,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,4.982.030
2016-01-29,Pagamento de benefícios INSS; Arrecadação de Convênios; Liberação Operações de Crédito; Grande Movimento Batch; ,Atenção,,5.757.998
2016-01-30,Utilização de Caixa Eletrônico; Processo de Migração/Incorporação,Atenção,,1.424.708
2016-01-31,Utilização de Caixa Eletrônico; Processo de Migração/Incorporação,Atenção,,757.703
2016-02-01,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios;,Alto Risco,,7.017.729
2016-02-02,Dia Produção Sisbr; Movimento Batch – Compe Inferior; Pagamento de benefícios INSS; Arrecadação de Convênios;,Atenção,,5.949.855
2016-02-03,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,5.778.037
2016-02-04,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,5.847.157
2016-02-05,Congelamento do ambiente; Aumento de transações CDO e ATM; Dia de grande movimento; Antecede feriado prolongado;,Congelamento,1,7.949.987
2016-02-06,Congelamento do ambiente; Aumento de transações CDO e ATM; Utilização de Caixa Eletrônico;,Congelamento,,1.533.485
2016-02-07,Congelamento do ambiente; Aumento de transações CDO e ATM; Utilização de Caixa Eletrônico;,Congelamento,,567.002
2016-02-08,Congelamento do ambiente; Aumento de transações CDO e ATM; ,Congelamento,,1.488.832
2016-02-09,Congelamento do ambiente; Feriado; Carnaval; Aumento de transações CDO e ATM;,Feriado,,976.111
2016-02-10,Arrecadação de Convênios; Arrecadação de GPS; Pós feriado prolongado;,Alto Risco,,7.981.240
2016-02-11,Dia Produção Sisbr; Arrecadação do Convênio IPVA;,Normal,,6.858.942
2016-02-12,Arrecadação do Convênio IPVA;,Normal,,6.358.441
2016-02-13,Utilização de Caixa Eletrônico,Normal,,1.490.660
2016-02-14,Utilização de Caixa Eletrônico,Normal,,666.436
2016-02-15,Movimento Segunda-Feira; Movimento Batch – Empréstimo 0001; Arrecadação do Convênio IPVA;,Alto Risco,,7.619.185
2016-02-16,Dia Produção Sisbr; Movimento Batch – Empréstimo 0001; Arrecadação do Convênio IPVA;,Normal,,6.001.209
2016-02-17,Arrecadação do Convênio IPVA;,Normal,,5.545.200
2016-02-18,Dia Produção Sisbr; Arrecadação do Convênio IPVA;,Normal,,5.383.806
2016-02-19,Arrecadação de GPS; Arrecadação de DARF e DAS; Pagamento de leite das Cooperativas Rurais; Arrecadação do Convênio IPVA;,Atenção,,6.045.619
2016-02-20,Utilização de Caixa Eletrônico,Normal,,1.520.171
2016-02-21,Utilização de Caixa Eletrônico,Normal,,401.749
2016-02-22,Movimento Segunda-Feira; Dia de maior movimento do Sicoobnet Empresarial; Arrecadação do Convênio IPVA;,Alto Risco,,7.061.153
2016-02-23,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação do Convênio IPVA;,Normal,,5.506.761
2016-02-24,Pagamento de benefícios INSS; Arrecadação do Convênio IPVA;,Normal,,5.285.835
2016-02-25,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,5.499.527
2016-02-26,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,5.561.327
2016-02-27,Utilização de Caixa Eletrônico,Normal,,1.440.622
2016-02-28,Utilização de Caixa Eletrônico,Normal,,778.686
2016-02-29,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios; Liberação Operações de Crédito; Grande Movimento Batch; Processo de Migração/Incorporação;,Alto Risco,,7.287.893
2016-03-01,Dia Produção Sisbr; Movimento Batch – Compe Inferior; Pagamento de benefícios INSS; Arrecadação de Convênios; Processo de Migração/Incorporação ,Alto Risco,,6.641.859
2016-03-02,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,6.180.421
2016-03-03,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios; ,Normal,,6.062.600
2016-03-04,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,6.792.923
2016-03-05,Utilização de Caixa Eletrônico;,Normal,,1.763.097
2016-03-06,Utilização de Caixa Eletrônico;,Normal,,797.243
2016-03-07,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios;,Alto Risco,1,8.225.916
2016-03-08,Dia Produção Sisbr; Movimento Batch – Compe Inferior; Arrecadação de Convênios; ,Normal,,6.237.515
2016-03-09,Arrecadação de Convênios; ,Normal,,5.884.068
2016-03-10,Dia Produção Sisbr; Arrecadação de Convênios; Arrecadação de GPS; ,Normal,,6.656.444
2016-03-11,Arrecadação do Convênio IPVA;,Normal,,5.942.245
2016-03-12,Utilização de Caixa Eletrônico;,Normal,,915.684
2016-03-13,Utilização de Caixa Eletrônico;,Normal,,558.201
2016-03-14,Movimento Segunda-Feira; Arrecadação do Convênio IPVA;,Alto Risco,,6.827.216
2016-03-15,Dia Produção Sisbr; Movimento Batch – Empréstimo 0001; Arrecadação do Convênio IPVA;,Atenção,,6.664.226
2016-03-16,Movimento Batch – Empréstimo 0001; Arrecadação do Convênio IPVA;,Normal,,5.736.911
2016-03-17,Dia Produção Sisbr; Arrecadação do Convênio IPVA;,Normal,,5.425.882
2016-03-18,Arrecadação de GPS; Arrecadação de DARF e DAS; Pagamento de leite das Cooperativas Rurais; Arrecadação do Convênio IPVA;,Atenção,,6.097.821
2016-03-19,Utilização de Caixa Eletrônico,Normal,,1.425.201
2016-03-20,Utilização de Caixa Eletrônico,Normal,,790.606
2016-03-21,Movimento Segunda-Feira; Dia de maior movimento do Sicoobnet Empresarial; Arrecadação do Convênio IPVA;,Alto Risco,,7.650.902
2016-03-22,Dia Produção Sisbr; Arrecadação do Convênio IPVA; ,Normal,,5.861.874
2016-03-23,Arrecadação do Convênio IPVA;,Normal,,5.703.947
2016-03-24,Congelamento do ambiente; Pagamento de benefícios INSS; Arrecadação do Convênio IPVA;,Congelamento,,5.294.970
2016-03-25,Congelamento do ambiente; Feriado; Paixão de Cristo; Aumento de transações CDO e ATM;,Feriado,,858.650
2016-03-26,Congelamento do ambiente; Utilização de Caixa Eletrônico;,Congelamento,,1.091.864
2016-03-27,Congelamento do ambiente; Utilização de Caixa Eletrônico;,Congelamento,,662.303
2016-03-28,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios;,Alto Risco,,7.055.853
2016-03-29,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,5.669.180
2016-03-30,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,5.807.243
2016-03-31,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios; Liberação Operações de Crédito; Grande Movimento Batch; Processo de Migração/Incorporação;,Alto Risco,,6.242.557
2016-04-01,Pagamento de benefícios INSS; Arrecadação de Convênios; Processo de Migração/Incorporação;,Atenção,,6.695.582
2016-04-02,Utilização de Caixa Eletrônico;,Normal,,1.578.178
2016-04-03,Utilização de Caixa Eletrônico;,Normal,,843.790
2016-04-04,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios;,Alto Risco,,7.457.785
2016-04-05,Dia Produção Sisbr; Movimento Batch – Compe Inferior; Pagamento de benefícios INSS; Arrecadação de Convênios;,Alto Risco,,7.208.468
2016-04-06,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,7.050.209
2016-04-07,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Atenção,1,7.037.883
2016-04-08,Arrecadação de Convênios; Arrecadação de GPS;,Normal,,6.468.245
2016-04-09,Utilização de Caixa Eletrônico;,Normal,,1.674.662
2016-04-10,Utilização de Caixa Eletrônico;,Normal,,882.390
2016-04-11,Movimento Segunda-Feira; Arrecadação de Convênios; Previsão de grande movimento;,Alto Risco,,8.396.883
2016-04-12,Dia Produção Sisbr; Movimento Batch – Compe Inferior;,Normal,,6.402.755
2016-04-13,,Normal,,5.852.853
2016-04-14,Dia Produção Sisbr;,Normal,,5.656.171
2016-04-15,Movimento Batch – Empréstimo 0001;,Normal,,6.554.605
2016-04-16,Utilização de Caixa Eletrônico;,Normal,,1.459.237
2016-04-17,Utilização de Caixa Eletrônico;,Normal,,713.267
2016-04-18,Movimento Segunda-Feira; Movimento Batch – Empréstimo 0001;,Alto Risco,,6.901.605
2016-04-19,Dia Produção Sisbr;,Normal,,6.059.109
2016-04-20,Arrecadação de GPS; Arrecadação de DARF e DAS; Pagamento de leite das Cooperativas Rurais; Dia de maior movimento do Sicoobnet Empresarial;,Alto Risco,,7.151.124
2016-04-21,Congelamento do ambiente;Feriado; Tiradentes; Aumento de transações CDO e ATM;,Feriado,,1.263.012
2016-04-22,,Normal,,5.516.599
2016-04-23,Utilização de Caixa Eletrônico;,Normal,,1.361.004
2016-04-24,Utilização de Caixa Eletrônico;,Normal,,793.022
2016-04-25,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios;,Alto Risco,,7.541.376
2016-04-26,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Atenção,,5.843.034
2016-04-27,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,5.589.468
2016-04-28,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Atenção,,5.495.561
2016-04-29,Pagamento de benefícios INSS; Arrecadação de Convênios; Liberação Operações de Crédito; Grande Movimento Batch;,Alto Risco,,6.571.185
2016-04-30,Utilização de Caixa Eletrônico; Processo de Migração/Incorporação;,Atenção,,1.650.777
2016-05-01,Congelamento do ambiente; Feriado; Dia do Trabalho; Aumento de transações CDO e ATM; Utilização de Caixa Eletrônico; Processo de Migração/Incorporação;,Feriado,,917.291
2016-05-02,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios;,Alto Risco,,7.892.111
2016-05-03,Dia Produção Sisbr; Movimento Batch – Compe Inferior; Pagamento de benefícios INSS; Arrecadação de Convênios;,Alto Risco,,6.756.932
2016-05-04,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,6.364.385
2016-05-05,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Atenção,,6.981.289
2016-05-06,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,1,7.677.739
2016-05-07,Congelamento do ambiente; Data comemorativa; Dia das Mães; Aumento de transações CDO e ATM; Utilização de Caixa Eletrônico;,Congelamento,,1.832.683
2016-05-08,Congelamento do ambiente; Data comemorativa; Dia das Mães; Aumento de transações CDO e ATM; Utilização de Caixa Eletrônico;,Congelamento,,849.652
2016-05-09,Movimento Segunda-Feira; Arrecadação de Convênios; Previsão de grande movimento;,Alto Risco,,7.885.855
2016-05-10,Dia Produção Sisbr; Movimento Batch – Compe Inferior; Arrecadação de Convênios; Arrecadação de GPS;,Alto Risco,,7.696.427
2016-05-11,,Normal,,6.417.731
2016-05-12,Dia Produção Sisbr;,Normal,,5.947.296
2016-05-13,,Normal,,6.102.738
2016-05-14,Utilização de Caixa Eletrônico,Normal,,1.568.434
2016-05-15,Utilização de Caixa Eletrônico,Normal,,839.950
2016-05-16,Movimento Segunda-Feira; Movimento Batch – Empréstimo 0001,Alto Risco,,8.159.136
2016-05-17,Dia Produção Sisbr;,Normal,,6.103.596
2016-05-18,,Normal,,5.775.325
2016-05-19,Dia Produção Sisbr;,Normal,,5.589.413
2016-05-20,Arrecadação de GPS; Arrecadação de DARF e DAS; Pagamento de leite das Cooperativas Rurais; Dia de maior movimento do Sicoobnet Empresarial,Alto Risco,,6.983.687
2016-05-21,Utilização de Caixa Eletrônico,Normal,,1.537.200
2016-05-22,Utilização de Caixa Eletrônico,Normal,,840.216
2016-05-23,Movimento Segunda-Feira;,Alto Risco,,6.809.721
2016-05-24,Dia Produção Sisbr;,Normal,,5.603.092
2016-05-25,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,6.202.634
2016-05-26,Congelamento do ambiente; Feriado; Corpus Christi; Aumento de transações CDO e ATM;,Feriado,,1.193.454
2016-05-27,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,5.683.604
2016-05-28,Utilização de Caixa Eletrônico,Normal,,1.454.603
2016-05-29,Utilização de Caixa Eletrônico,Normal,,888.717
2016-05-30,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios;,Alto Risco,,7.337.345
2016-05-31,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios; Liberação Operações de Crédito; Grande Movimento Batch; Processo de Migração/Incorporação;,Alto Risco,,6.680.000
2016-06-01,Pagamento de benefícios INSS; Arrecadação de Convênios; Processo de Migração/Incorporação;,Atenção,,6.865.832
2016-06-02,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,6.375.278
2016-06-03,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,6.752.929
2016-06-04,Utilização de Caixa Eletrônico,Normal,,1.864.016
2016-06-05,Utilização de Caixa Eletrônico,Normal,,962.168
2016-06-06,Movimento Segunda-Feira; Arrecadação de Convênios; Pagamento de benefícios INSS,Alto Risco,,8.637.719
2016-06-07,Dia Produção Sisbr; Movimento Batch – Compe Inferior; Pagamento de benefícios INSS; Arrecadação de Convênios; ,Atenção,1,7.687.759
2016-06-08,Arrecadação de Convênios; ,Normal,,6.534.334
2016-06-09,Dia Produção Sisbr; Arrecadação de Convênios; ,Normal,,6.048.791
2016-06-10,Pagamento de benefícios INSS; Arrecadação de GPS; Arrecadação de Convênios; ,Normal,,7.163.422
2016-06-11,Data comemorativa; Dia dos Namorados; Utilização de Caixa Eletrônico; Aumento de transações CDO e ATM; ,Atenção,,1.643.093
2016-06-12,Data comemorativa; Dia dos Namorados; Utilização de Caixa Eletrônico; Aumento de transações CDO e ATM; ,Atenção,,815.516
2016-06-13,Movimento Segunda-Feira;,Alto Risco,,7.004.603
2016-06-14,Dia Produção Sisbr; Movimento Batch – Compe Inferior;,Normal,,6.415.476
2016-06-15,Movimento Batch – Empréstimo 0001; Arrecadação do Convênio IPVA;,Normal,,6.886.485
2016-06-16,Dia Produção Sisbr; Movimento Batch – Empréstimo 0001;,Normal,,5.889.579
2016-06-17,,Normal,,6.026.715
2016-06-18,Utilização de Caixa Eletrônico,Normal,,1.537.654
2016-06-19,Utilização de Caixa Eletrônico,Normal,,849.228
2016-06-20,Movimento Segunda-Feira; Arrecadação de GPS; Arrecadação de Convênios; Arrecadação de DARF e DAS; Pagamento de leite das Cooperativas Rurais; Dia de maior movimento do Sicoobnet Empresarial,Alto Risco,,8.260.657
2016-06-21,Dia Produção Sisbr;,Normal,,6.143.762
2016-06-22,,Normal,,5.759.676
2016-06-23,Dia Produção Sisbr,Normal,,5.427.205
2016-06-24,Pagamento de benefícios INSS;,Normal,,5.389.229
2016-06-25,Utilização de Caixa Eletrônico,Normal,,1.437.889
2016-06-26,Utilização de Caixa Eletrônico,Normal,,797.303
2016-06-27,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios; ,Alto Risco,,6.930.545
2016-06-28,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios; ,Normal,,5.846.878
2016-06-29,Pagamento de benefícios INSS; Arrecadação de Convênios; ,Normal,,5.586.713
2016-06-30,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios; Liberação Operações de Crédito; Grande Movimento Batch; Processo de Migração/Incorporação;,Alto Risco,,6.648.658
2016-07-01,Pagamento de benefícios INSS; Arrecadação de Convênios; Processo de Migração/Incorporação;,Atenção,,7.035.396
2016-07-02,Utilização de Caixa Eletrônico; Dia Internacional do Cooperativismo;,Normal,,1.708.358
2016-07-03,Utilização de Caixa Eletrônico; Dia Internacional do Cooperativismo;,Normal,,937.833
2016-07-04,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios;,Alto Risco,,8.011.163
2016-07-05,Dia Produção Sisbr; Movimento Batch – Compe Inferior; Pagamento de benefícios INSS; Arrecadação de Convênios;,Atenção,,7.525.288
